Sex at Birth,Gender Identity,Age,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Student Status,Field of Study,Occupational Area,Annual Income Level,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Motivations,Shopping Habits,Shopping Channels,Shopping Frequency,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol Use,Tobacco and Vape Use,Technology Usage,Family Structure,Household Size,Number of Children,Pet Ownership,Number of Pets,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,At what price in GBP would you consider the product to be so expensive that you would not consider buying it?,At what price in GBP would you consider the product to be priced so low that you would feel the quality couldn’t be very good?,"At what price in GBP would you consider the product starting to get expensive, so that it is not out of the question, but you would have to give some thought to buying it?",At what price in GBP would you consider the product to be a bargain? 
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,More than 10 years,Master's,Not a student,Economics,Finance,150000£ to 200000£,Employed full-time,Own,White British,English,Christianity,Celebrates Christmas and Easter,Not an immigrant,"Golf, Reading, Travel",Quality and durability,Prefers online shopping,Primary online,Regular,No specific dietary restrictions,Moderate,Active on Facebook and LinkedIn,Enjoys luxury vacations,Occasional social drinker,Does not smoke or vape,Comfortable with technology gadgets,Married with children,4,2,Has a dog,1,Married,Cares for aging parents,Good,None,Stable,Private health insurance,Access to private healthcare,Moderate,Regular voter,Politically aware and engaged,2000,200,1500,"£1,500"
Male,Male,50,Married,Heterosexual,British,United Kingdom,London,London,Urban,House,10+ years,Bachelor's degree,Not a student,Economics,Finance,"£150,000 to £200,000",Employed full-time,Own,White British,English,Christianity,None,Citizen,"Golf, Reading, Travel","Quality, Value",Routine shopper,Primary online,Weekly,None,Moderate,Active on LinkedIn,Frequent traveler for leisure,Occasional,Non-smoker,Advanced user,Married with children,4,2,None,None,Married,None,Good,None,Stable,Private insurance,Good,Conservative,Regular voter,Engaged in local community,2000,200,1500,£800
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family house,10+ years,Master's Degree,Not a student,Business Management,Finance,"150,000£ to 200,000£",Full-time employed,Own,White British,English,Christian,Celebrates Christmas and Easter,Not an immigrant,"Golf, Reading",Quality products,Prefers luxury brands,Primary online,Bi-weekly,No specific restrictions,Regular gym-goer,Active on Facebook and LinkedIn,Enjoys vacations in Europe,Moderate drinker,Non-smoker,Comfortable with smartphones and laptops,Married with children,4,2,Dog owner,1,Married,Full-time job,Excellent,None,Healthy,Covered through employer,Easy access to private healthcare providers,Centrist,Regular voter,Follows national news and votes in elections,2000,200,1500,800
Female,Woman,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family house,More than 10 years,Master's degree,Not a student,Business Administration,Management,"150,000£ to 200,000£",Employed full-time,Own,White British,English,Christian,Celebrates Christmas and Easter,British citizen,Gardening,Quality products,Prefers online shopping,Primary online,Monthly,Omnivore,Regular exercise,Active on Facebook,Enjoys city breaks,Social drinker,Does not smoke or vape,Comfortable with using tech devices,Married with no children,2,0,Dog owner,1,Married,None,Good,None,Stable,Covered by employer,Easy access to healthcare services,Centrist,Regular voter,Moderate,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family House,10+ years,Master,Not a student,Finance,Banking,"150,000£ to 200,000£",Employed full-time,Own,White British,English,Christianity,Celebrates Christmas and Easter,Native,"Golf, Travel, Reading",Quality and convenience,Prefers online shopping,Primary online,Monthly,Omnivore,Moderate,Regularly checks Facebook and LinkedIn,Enjoys luxury vacations,Occasional social drinker,Non-smoker,Comfortable with technology,Married with children,4,2,Yes,1,Married,No caregiving responsibilities,Good,None,Stable,Covered through employer,Easy access to private healthcare,Moderate,Regular voter,Mildly engaged in local politics,2000,200,1500,1000
Male,Male,53,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family house,5 years,Master,Not a student,Business Administration,Finance,"£150,000 to £200,000",Employed full-time,Own,White British,English,Christian,Celebrates Christmas and Easter,British citizen,"Golf, reading, volunteering","Quality products, good discounts","Prefers in-store shopping for clothes, online for electronics",Primarily online,Weekly,No specific dietary preferences,Regular exercise at the gym,"Moderate, uses Facebook and Instagram",Enjoys traveling to European countries,"Moderate, enjoys wine occasionally",Non-smoker,"Uses a smartphone, laptop, and smart home devices",Married with two children,4,2,Has a dog,1,Married,None,Good,None,Stable,Privately insured,Easy access through private healthcare,Moderate,Regularly votes,Keeps abreast of political news but not actively involved in campaigning,2000,200,1500,1000
Female,Woman,50,Married,Heterosexual,British,United Kingdom,London,London,Urban,Single-family house,More than 10 years,Master's degree,Not a student,Marketing,Advertising,"£150,000 to £200,000",Employed full-time,Owns a home,White British,English,Christian,Celebrates Christmas and Easter,Native-born,"Travel, gardening, reading",Quality and convenience,Prefers online shopping,Primary online,Regular,Balanced diet,Moderate,Active on Facebook and Instagram,Enjoys luxury vacations,Social drinker,Non-smoker,Uses smartphones and laptops daily,Married with 2 children,4,2,Owns a cat,1,Married,None at the moment,Good,None,Positive,Covered through employer,Easy access to healthcare services,Moderate,Regular voter,Follows political news,2000,200,1500,"£1,000"
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,10 years,"Bachelor, Master",Not a student,Business Administration,Finance,"£150,000 to £200,000",Employed full-time,Owns a home,White,English,Christian,Celebrates Christmas and Easter,Born Citizen,"Golf, Reading",Quality products,Online and in-store,Primary online,Regular shopper,No specific dietary restrictions,Regular exercise,Moderate usage for staying in touch with friends,Enjoys traveling for holidays,Occasional social drinker,Non-smoker,Comfortable with gadgets and new technology,Married with two children,4,2,Has a pet,1,Married,May provide occasional care for elderly parents,Good,None,Normal,Private health insurance,Easy access through work benefits,Moderate,Regular voter in general elections,Reads news and stays informed on political matters,2000,200,1500,£1000
Male,Male,52,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,10 years,Master,Not a student,N/A,Finance,150000£ to 200000£,Employed full-time,Own,White British,English,Christianity,Regular church attendance,Native-born,"Golf, Reading, Travel",Quality and Value,Occasional splurges,Primarily online,Monthly,Omnivore,Moderate,Active on Facebook,Frequent international travel,Occasional social drinker,Does not smoke or vape,Comfortable with new technology,Family of four,4,2,No,N/A,Married,None,Good,None,Stable,Private health insurance,Easily accessible,Centrist,Regularly votes,Follows current events,2000,200,1500,1000
Male,Cisgender Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,Over 10 years,Master's Degree,Not a student,Business Administration,Finance,"150,000£ to 200,000£",Full-time employed,Own,British,English,Christianity,Celebrates Christmas and Easter,Not an immigrant,"Golf, Reading, Gardening",Quality and Durability,Occasional luxury purchases,Primary online,Bi-weekly,Omnivore,Regular exercise,Frequent,Prefers luxury travel,Occasional social drinker,Non-smoker,Uses the latest gadgets,Married with children,4,2,Yes,1,Happily married,None,Good,None,Stable,Private health insurance,Easily accessible,Moderate,Regular voter,Keeps informed but not highly engaged,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,London,London,Urban,House,10+ years,Bachelor's degree,Not a student,Business Administration,Finance,150000£ to 200000£,Employed full-time,Own home,Caucasian,English,Christian,Attends church regularly,Native born,"Golf, Gardening",Quality and durability,Prefers online shopping,Primary online,Regularly,None,Moderate,Limited to Facebook,Occasional vacations within Europe,Social drinker,Non-smoker,Comfortable with smartphones and laptops,Married with children,3,2,Owns a dog,1,Married,None,Good,None,Stable,Has private health insurance,Regular access through employer,Moderate,Regular voter,Follows political news,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,10+ years,Master,Not a student,N/A,Technology,150000£ to 200000£,Employed full-time,Own,White British,English,Christianity,Christmas celebrations,Native born,"Golf, Cooking",Quality over quantity,In-store and online,Primary online,Regularly,No special restrictions,Regular exercise,Active on Facebook and LinkedIn,Enjoy domestic and international vacations,Occasional social drinking,Does not smoke or vape,Keeps up-to-date with latest gadgets,Married with children,4,2,Yes,1,Married,None,Good,None,Stable,Covered by employer,Easy access to private healthcare,Centrist,Regular voter,Attends local community meetings,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached house,Over 10 years,Master,Not a student,Finance,Banking,150000£ to 200000£,Employed,Own home,White British,English,Christianity,Attends church weekly,Born in the UK,"Golf, reading, gardening",Quality and convenience,Prefers online shopping,Primary online,Weekly,Omnivore,Regular exercise,Occasional use for keeping in touch,Enjoys luxury vacations,Occasional social drinker,Does not smoke or vape,Comfortable with technology,Married with 2 children,4,2,Has a dog,1,Married,None,Good,None,Stable,Employer-provided,Private healthcare,Moderate,Regular voter,Follows political news and events,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,10+ years,"Bachelor, Master",Not a Student,Business Administration,Finance,"£150,000 to £200,000",Employed full-time,Own Home,White British,English,Christianity,Celebrates Christmas and Easter,Citizen,"Golf, Reading",Quality and comfort,Prefers online shopping,Primary online,Regular shopper,No specific dietary restrictions,Moderate,Active on Facebook,Enjoys occasional vacations within Europe,Moderate,Non-smoker,Comfortable with technology devices,Married with children,4,2,Has a dog,1,Married,None,Good,None,Healthy,Privately insured,Routine access to healthcare services,Centrist,Regular voter,Engages in discussions and attends local meetings,2000,200,1500,1000
Female,Woman,52,Married,Heterosexual,British,United Kingdom,London,London,Urban,House,10+ years,"Bachelor, Master",Not a student,Marketing,Advertising,150000£ to 200000£,Full-time,Own,White British,English,Christianity,Celebrate Christmas and Easter,Citizen,"Cooking, Gardening, Reading","Quality products, Convenience",Regularly shops for clothes and homeware,Primary online,Regular,Healthy balanced diet,"Moderate, goes for walks",Active on Facebook and Instagram,Enjoys occasional city breaks,Social drinker,Non-smoker and does not use vape,Comfortable with smartphones and laptops,Married with two children,4,2,No,Not applicable,-,Care for elderly parent,Good,None,Stable,Covered by employer,Easy access through the National Health Service (NHS),Moderate,Votes in general and local elections,Follows political news and discussions,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,London,London,Urban,Detached House,10+ years,Master,Not a student,Business Administration,Finance,150000£ to 200000£,Employed full-time,Own,British,English,Christian,Not specified,Not an immigrant,"Golf, Travel, Reading",Quality of products,Regular shopper,Primary online,Weekly,Regular diet,Active,Moderate,Frequent traveler,Occasional,Non-smoker,High,Married with children,4,2,Yes,1,Married,None,Good,None,Stable,Insured privately,Excellent,Moderate,Regular voter,Follows political news,2000,200,1500,1000
Female,Woman,57,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,Over 20 years,"Bachelor, Master",Not a student,Not applicable,Finance,150000£ to 200000£,Full-time,Own,White British,English,Christianity,Celebrates Christmas and Easter,Citizen,Gardening and reading,Quality and durability,Prefers online shopping,Primary online,Regular,Balanced diet,Moderate,Limited to Facebook,Enjoys weekend getaways in the UK,Occasional wine with meals,Non-smoker,Comfortable with using smartphones and computers,Married with adult children,2,2,Dog,1,Married,Supports elderly parents occasionally,"Good, regular check-ups",None,Positive mental well-being,Private health insurance,Easy access through private healthcare,Center-right,Conservative party,Follows local elections,2000,200,1500,1000
Male,Male,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,More than 10 years,Master,Not a student,Business Administration,Finance,"150,000£ to 200,000£",Employed,Own,White British,English,Christianity,None,Not an immigrant,"Golf, Reading","Quality, Convenience",In-store and online,Primary online,Weekly,Omnivore,Moderate,Active on Facebook and LinkedIn,Frequent traveler for work,Occasional,Non-smoker,Tech-savvy,Married with children,4,2,Yes,1 dog,Married,None,Good,None,Well,Insured through employer,Easy access to private healthcare,Centrist,Regular voter,Moderate,2000,200,1500,1000
Female,Cisgender,50,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family house,10+ years,Bachelor,Not a student,N/A,Finance,150000£ to 200000£,Full-time employed,Own,White British,English,Christianity,Celebrates Christmas and Easter,N/A,Gardening,Quality and convenience,Online shopping,Primary online,Regular,Omnivore,Moderate,Active on Facebook and Instagram,Enjoys weekend getaways,Occasional,Non-smoker,Comfortable with digital devices,Married with two children,4,2,Yes,1,Married,Primary caregiver for aging parents,Good,None,Stress from work,Covered by employer,Private healthcare,Moderate,Regular voter,Attends local community meetings,2000,200,1500,1000
Female,Cisgender Woman,53,Married,Heterosexual,British,United Kingdom,England,London,Urban,Single-family house,Over 20 years,Bachelor's,Not a student,Business Administration,Finance,"150,000£ to 200,000£",Employed full-time,Own,White British,English,Christianity,Celebrates Christmas and Easter,Born in country of residence,"Gardening, Reading, Traveling",Quality products,Prefers online shopping over in-store,Primary online,Regularly for household items,Omnivore,Moderate,Active on Facebook and Instagram,Enjoys luxury vacations,Occasional social drinker,Non-smoker,Comfortable with modern gadgets,Married with adult children,2,2,Yes,1 dog,Married,None,Good,None,Stable,Private health insurance,Access to quality healthcare providers,Conservative Party supporter,Votes regularly,Attends political rallies and events,2000,200,1500,1000
